,road,id,model_type,name,lat,lon,length,condition
1006,N1,101007,bridge,UNCHI - PRANG BRIDGE,21.1020295703488,92.2079394552325,34.2,A
1007,N1,101008,link,Link,21.1013034924471,92.20825875307075,188.99999999996453,None
1008,N1,101009,bridge,ON SIFAPAING BOX CULVERT,21.1005774145454,92.208578050909,3.0,A
1009,N1,101010,link,Link,21.099724223062147,92.2091179833492,231.0000000000514,None
1010,N1,101011,bridge,UNCHING OPLONG CULVERT (1),21.0988710315789,92.2096579157894,1.2,A
1011,N1,101012,link,Link,21.096951148746797,92.21055900664155,478.999999999985,None
1012,N1,101013,bridge,KUTUB DIA PARA (1) CULVERT,21.0950312659147,92.2114600974937,2.7,A
1013,N1,101014,link,Link,21.09473824072675,92.21156818020046,69.00000000001683,None
1014,N1,101015,bridge,KUTUB DIA PARA CULVERT,21.0944452155388,92.2116762629072,2.7,A
1015,N1,101016,link,Link,21.093413973275702,92.21199370518775,243.99999999997135,None
1016,N1,101017,bridge,KUTUB - DIA PARA (3),21.0923827310126,92.2123111474683,4.2,A
1017,N1,101018,link,Link,21.09145437742115,92.2125978688405,221.00000000000364,None
1018,N1,101019,bridge,KANGOR PARA,21.0905260238297,92.2128845902127,2.7,A
1019,N1,101020,link,Link,21.089696528966847,92.21329007863235,209.00000000000318,None
1020,N1,101021,bridge,KANGOR PARA MOZGID,21.088867034104,92.213695567052,1.2,A
1021,N1,101022,link,Link,21.08791309190745,92.21426597095375,245.00000000000455,None
1022,N1,101023,bridge,KHAN GIOR PARA (1),21.0869591497109,92.2148363748555,2.8,A
1023,N1,101024,link,Link,21.08672942485545,92.21497373742775,58.99999999996908,None
1024,N1,101025,bridge,KHANGOR PRAMARY (2),21.0864997,92.2151111,1.2,A
1025,N1,101026,link,Link,21.08545610197625,92.21551547272725,254.0000000000191,None
1026,N1,101027,bridge,Khan Gor Para Bridge,21.0844125039525,92.2159198454545,14.0,A
1027,N1,101028,link,Link,21.0833272249492,92.2162605315861,262.9999999999768,None
1028,N1,101029,bridge,RHANCHOR PARA BOX CULVERT,21.0822419459459,92.2166012177177,1.2,A
1029,N1,101030,link,Link,21.081342465830048,92.2170026445731,224.00000000004638,None
1030,N1,101031,bridge,KHANCHOR PARA (2),21.0804429857142,92.2174040714285,1.0,A
1031,N1,101032,link,Link,21.079833665845598,92.21776368322381,161.00000000000136,None
1032,N1,101033,bridge,KHANCHOR PARA- BOX CULVERT,21.079224345977,92.2181232950191,1.0,A
1033,N1,101034,link,Link,21.0782534554885,92.2190266821249,298.0000000000018,None
1034,N1,101035,bridge,NOYA PARA (1) BOX CULVERT,21.077282565,92.2199300692307,3.0,A
1035,N1,101036,link,Link,21.07573017496575,92.2210895068756,448.99999999995543,None
1036,N1,101037,bridge,NAYAPARA,21.0741777849315,92.2222489445205,5.8,A
1037,N1,101038,link,Link,21.07333536581735,92.22288087665585,258.0000000000382,None
1038,N1,101039,bridge,NOYA PARA,21.0724929467032,92.2235128087912,1.3,A
1039,N1,101040,link,Link,21.0718624111721,92.22390258869045,181.99999999995953,None
1040,N1,101041,bridge,GIMON KHALI BRIDGE,21.071231875641,92.2242923685897,5.8,B
1041,N1,101042,link,Link,21.07038410448715,92.22443056762815,207.00000000005048,None
1042,N1,101043,bridge,GIM - MOGARI BRIDGE,21.0695363333333,92.2245687666666,7.5,C
1043,N1,101044,link,Link,21.06728809080455,92.22455165823749,527.9999999999632,None
1044,N1,101045,bridge,NINA BAZAR BOX CULVERT,21.0650398482758,92.2245345498084,1.2,A
1045,N1,101046,link,Link,21.06245675502025,92.22545837956105,639.9999999999864,None
1046,N1,101047,bridge,NOYA BAZAR BRIDGE,21.0598736617647,92.2263822093137,30.9,B
1047,N1,101048,link,Link,21.058931712461252,92.22644562746385,212.00000000004593,None
1048,N1,101049,bridge,NOYA BAZAR CULVERT,21.0579897631578,92.226509045614,1.2,C
1049,N1,101050,link,Link,21.057142057937547,92.22657716438304,188.99999999996453,None
1050,N1,101051,bridge,NAYA BAZAR BRIDGE,21.0562943527173,92.2266452831521,9.4,B
1051,N1,101052,link,Link,21.05411750598825,92.2281708891069,694.9999999999932,None
1052,N1,101053,bridge,KHARANG KHALI - BOX CUVERT (1),21.0519406592592,92.2296964950617,2.8,C
1053,N1,101054,link,Link,21.051394632804197,92.23160481604936,477.0000000000323,None
1054,N1,101055,bridge,KHARANG KHAIL,21.0508486063492,92.233513137037,1.2,C
1055,N1,101056,link,Link,21.048654227190298,92.2343168882035,544.9999999999591,None
1056,N1,101057,bridge,MOULIVI BAZAR FISHARI BRIDGE,21.0464598480314,92.23512063937,31.7,C
1057,N1,101058,link,Link,21.0443625246454,92.2359379228336,501.0000000000332,None
1058,N1,101059,bridge,MOULOVI BAZAR BOX CULVERT (1),21.0422652012594,92.2367552062972,1.2,C
1059,N1,101060,link,Link,21.041353026370402,92.23720466351895,228.00000000000864,None
1060,N1,101061,bridge,MOULOVI BAZAR BOX CULVERT,21.0404408514814,92.2376541207407,1.2,C
1061,N1,101062,link,Link,21.039042905555497,92.23835307777776,343.9999999999941,None
1062,N1,101063,bridge,ALI AXBAR PARA BOX CULVERT,21.0376449596296,92.2390520348148,6.2,A
1063,N1,101064,link,Link,21.035837902693,92.23987920338524,449.0000000000123,None
