Seed,Average Driving Time
12,1330.1592159559834
13,1192.021481942715
14,1159.3175885643257
15,1222.1516978736909
16,1187.99661933739
17,1303.558659217877
18,1301.5582713425433
19,1239.3842070338421
20,1361.072564612326
21,1245.4550297712317
