Seed,Total_Delay
100009,2223.669518960266
100011,2246.683257897522
100015,2213.299650894743
100057,4233.781845237754
100061,10630.930877575356
100067,10820.051066091157
100077,4009.586667124781
100085,10664.060549584285
100091,3958.3637809100865
100093,3950.131778887528
100101,10108.710360713232
100105,3908.4284324302407
100107,3827.625545168478
100109,3842.2241617062587
100113,3788.3000975986256
100119,3652.8976626168537
100129,4177.862438270091
100139,10560.015740133693
100141,10538.98906435638
100145,10169.611440388167
100159,4065.6500948729768
100167,4009.8912887991874
100171,3941.5702090541536
100179,3883.161209072505
100195,3802.786301008752
100197,3818.8094669284765
100201,3875.8603128972422
100203,3846.8544849794334
100209,3795.7458689247433
100217,3748.6749303113647
100219,3724.128530975016
100225,9883.258197708607
100227,3631.159057034554
100231,9345.509705979788
100233,3592.5066184556117
100235,3646.133708964621
100245,3064.767774048274
100257,3105.990045939352
100267,3015.2114018858315
100271,2987.000376885744
100275,2865.6154816268017
100283,7722.1079905267325
100291,2909.878571707785
100301,2758.3858443497343
100325,2750.476972907787
100335,2756.692452537237
100353,2696.572924423551
100359,6796.135395114804
100383,2593.529924222612
100393,2614.8209225929977
100403,6842.56936675223
100429,1878.419299094693
100435,1842.5686894254998
100443,687.1557841902318
100449,3143.428877432676
100461,531.2248885270349
100477,1402.884334415581
100479,452.863250039085
100481,489.74801057314215
100495,1199.789699527371
100501,382.7770354233588
100511,1004.4224573089806
100529,827.8102087524612
100595,285.9554205757386
100613,706.124389227943
100639,262.16412964253095
100681,771.7332935229111
100687,286.7669506468721
100689,870.7887483473397
100737,363.8867856408511
100755,939.5984308426832
100757,462.16866120185784
100771,487.0706521878928
100787,1322.8491555634662
100823,576.7418888798733
100829,590.5544617234981
100863,653.4596360336961
100869,1865.4843085161046
100889,2275.9266782480177
100909,882.1448207001578
100921,951.8937485680956
100933,2840.473151133176
100955,1137.1178446311787
100959,1181.7298511353295
100965,3375.9204561486863
100973,1351.6529201192386
100975,1356.484041916105
100977,1441.6588243240371
100981,1482.6204438857196
101015,1505.1580175164754
101021,1583.90347683267
101035,1615.6409260821285
101043,1649.0587372601194
101047,1686.4984729313003
101049,1819.9838673772867
101053,1902.4366128808551
101057,4804.241515666742
101063,1948.637890212241
101071,2010.7865446561082
101081,2010.226661054684
101085,2116.1051317246665
101089,2128.1408774646015
101095,2105.1984271946512
101097,5922.800408569763
101105,2330.846988543851
101111,6161.366276031146
101115,6629.420335493236
101133,2706.8048744933017
101135,6757.144550860139
101151,6994.359711986766
101167,7513.326563623411
101186,501.33596951991507
101190,511.40496034762907
101216,526.954360178164
101258,559.4080973853179
101262,1748.3585818914985
101280,653.9567726232092
101282,1730.5570051794557
101312,1875.248328220786
101326,2193.6490537710033
101348,2154.101735663264
101352,886.9134945727278
101373,3365.304655792867
101379,3480.359307593171
101383,3432.369288902999
101385,3446.532318230832
101387,3391.677574397535
101395,3588.63464195813
101401,3549.8632048151526
101403,3467.0464909290104
101407,3553.159512264566
101419,3567.389240234075
101429,3615.994805119865
101435,3554.8824355113998
101474,3541.182544713981
101506,3681.5892984974926
101508,3580.460956071536
101537,2377.693365631716
101541,2393.032310431869
101563,11642.194237884189
101565,6642.130789547213
101567,6790.274318182155
101601,2761.3943410922243
101603,2768.2939962088826
101637,2787.569820752422
101643,2836.6670696773826
101653,2813.3251806900535
101667,2930.52499209728
101669,13640.605275984079
101677,2986.50339411468
101697,7827.50121210866
101701,3110.1147263536163
101715,3193.381679098844
101740,929.4605689294904
101750,901.2681816012567
101762,916.916777669345
101770,879.5652076374402
101772,2461.050447493563
101782,884.9789345632981
101788,4552.014226568163
101852,1016.083086653156
101872,961.8872433507607
101880,955.6721251232058
101894,979.7644691517639
101896,1016.2215006350013
101914,4478.6681928248845
101920,2490.4471310182957
101924,893.6924684802043
101940,4564.485258237879
101974,4860.2330397522
102000,5038.94825996161
102014,2053.2218370815276
102022,2166.6880221212614
102024,4962.9388330480115
102046,2108.4412968933357
102050,2253.191264105157
102056,2228.8493308506436
102086,2256.367213926411
102114,2274.8839029675682
102128,2214.546465947834
102140,2229.4439693913737
102160,2259.35460876817
102176,2251.0215329186644
102192,2324.492209813748
102196,2356.198612515432
102230,2390.4412358542495
102258,2385.680129758895
102264,2457.614203576667
102272,2512.412674112685
102282,2562.800390954461
102306,2512.9724869318115
102332,6950.6781773374
102390,6871.940333131212
102392,2698.527770014104
102404,2790.9968073659347
102432,7295.25575392111
102440,2862.9876440296493
102492,7399.480560818317
