BridgeID,12,13,14,15,16,17,18,19,20,21
100003,,44135.178394639996,,42927.68378118162,,,,,,
100007,,,,,,117898.15917424843,114207.52689016706,,,
100009,11076.562696074849,13636.525678079066,13455.877917978112,,,12759.334490948804,,,,11652.542908768772
100011,11143.047672916564,,,12688.586545082657,,,,13225.08704917785,,11531.068098696403
100013,11090.30042364854,,,12764.872020102004,,12866.021471396,12196.819276291006,,12408.659153483773,
100015,11186.592603416895,,,,14098.913517694078,,12125.84083327335,,,11548.715959469346
100017,,,33586.06743902718,,,32184.53399488862,,32808.3140258588,31204.100873411604,
100021,,23699.627254006708,,22076.016943093728,24207.506746226332,,21053.54586615722,,,21257.289580275934
100023,19791.334555091606,,,,,,20890.935957866295,,,
100025,,60045.44656141344,,,,54567.19661117041,54451.60653152879,,,
100027,,,,55004.297046643194,,,,56828.929087672215,54869.55055786967,
100029,,23687.75146272713,,22085.031404422924,,21838.248390737583,21328.961820496144,,,
100031,89751.53760644149,,,101733.430082361,,,98006.6051537143,104776.62779871146,101071.86024967708,
100033,49745.3681492818,,,,,,54012.132355484624,58556.50583149523,56717.62505973612,
100035,50606.15983670742,58971.213024268975,59019.435041764744,57272.47087055141,60182.05325190521,54815.77427479047,55635.26254043288,,,
100037,51824.00463748368,,,57439.30852558791,,55389.075031179564,,58916.36592481106,56526.59908122583,
100039,,,,,,22058.966375279953,22077.310821904495,23664.974529879622,22632.456913585378,21564.034102530408
100041,,60188.96229458069,60397.96155457317,57988.21852881579,,,55241.739198867115,,57764.19476024802,54426.34261870033
100043,,,108152.34924602853,106180.85496727389,109347.80935390892,101356.80140608107,103018.38939130928,,,
100045,,,,23585.534004891073,24579.622526837895,,,24000.99480038646,23142.668851532082,
100047,201516.1029723814,,233910.50231090863,226975.26977555535,,220064.24898505388,219493.41655909477,,222120.2453629872,
100049,,,112710.17780057722,,,107044.55643982145,,,,97839.25404514681
100051,208220.43520837135,232154.80730493032,,231841.6738503064,,227535.65296793514,225474.1324668962,229524.7256800413,,217530.14142985037
100053,22010.364623981674,,,,,,,,,22793.012252183617
100055,,,25014.911684625007,,24409.312909707158,,,,,
100057,22162.270751645538,24858.273158975106,,24839.75322088485,,24508.68723548582,,,,22941.29702246356
100059,101752.50892362504,,,,,,,112762.26822611623,109208.78967679157,105545.18817128928
100061,57204.36560632435,,,,62030.2783653471,,61239.69173912983,,,60024.1755558661
100063,,63328.14582732598,,,,,,,,
100065,57287.84189874495,,,62868.69410080115,,61394.4772177997,61736.02992849495,,,
100067,57470.46967349662,,,,63017.61095505496,61525.36973560328,,,59940.522588241714,59678.60779951703
100069,,,64282.062651731176,,,,,62796.49382818343,,59923.48185684864
100071,23095.021854880106,,,,24733.798379792548,24871.29427543199,24294.133045262945,24838.11335198783,24476.344653170447,24133.3257106747
100073,,,25279.111710932884,,,,24500.918433134357,,,
