Seed,Average Driving Time
12,1396.7495173745174
13,1101.8716244287496
14,1057.7029077117572
15,1333.859475719811
16,1073.89243697479
17,1305.2359792924935
18,1150.0623268698062
19,1176.7105492589365
20,1330.1144301470588
21,1200.3987261146497
