Seed,Total_Delay
100009,2229.7823782675882
100015,2169.28814954572
100061,11214.597964369588
100077,4672.153697406168
100085,11457.60033075417
100091,4505.233484182995
100093,4427.341433307408
100101,11270.825541109245
100105,4405.276719639605
100107,4346.284245830001
100109,4390.10341962437
100113,4272.74602203051
100119,4094.3258771902933
100129,4904.459718462798
100139,12807.121909258349
100141,12388.1980300681
100145,12197.541235660074
100149,4651.131390562993
100159,4708.661209678719
100167,4780.590758419811
100171,4723.717761045586
100175,4686.959053617737
100179,4575.123908028017
100195,4670.136634963973
100197,4720.380644788219
100201,4631.606439948201
100203,4683.329768627473
100209,4587.5556010296505
100217,4708.351606278646
100219,4731.917669495287
100225,12131.506665498944
100227,4761.60653424275
100231,12504.559021777
100233,4884.976252256223
100235,4844.320569472161
100245,3138.19089499514
100257,3123.0520218433453
100267,3147.85741277724
100271,3132.572756140155
100283,8129.770331306512
100301,3174.2937034694173
100335,3240.0789873962867
100353,3250.928616188849
100359,8263.952712115472
100435,3633.5704854885616
100461,1465.1660510527752
100477,3550.2315711593474
100479,1466.7007586354225
100481,1483.4190129091553
100495,3789.8888955965776
100501,1528.908731547412
100529,3999.695586629567
100595,1687.4431656553816
100639,1725.2995682218746
100681,4536.3824234706535
100687,1701.2153445456493
100689,4617.114945802588
100737,1938.2543454891909
100755,4816.404134569269
100771,1899.133893479641
100787,5022.301917353348
100823,2077.4764242803417
100863,2133.1451747266524
100869,5666.4775005370275
100921,2203.4391902735997
100933,5610.629931733673
100965,5624.715147611649
100973,2348.095340792655
100977,2243.7493251226074
100981,2346.294533844195
101015,2351.3642948594097
101047,2455.0803381416645
101053,2458.7671813136067
101063,2568.435990005803
101071,2641.584513882625
101081,2596.4871724958257
101089,2672.1936272542557
101095,2762.6174602178603
101105,2767.2390669791957
101133,2798.3633628179705
101135,7361.430953235494
101167,7394.53478283147
101186,771.772966744091
101190,804.6267980292336
101258,823.44421131545
101262,2015.5482551319653
101280,877.7492776073711
101312,2051.6687010622577
101326,2427.260666413371
101348,2467.4814585167283
101352,878.7545639827945
101373,3249.9149099449555
101379,3328.448984397478
101383,3286.966338712729
101385,3454.443082434921
101395,3395.731174783647
101401,3531.9760625384824
101403,3527.8855095665485
101407,3490.809939859832
101419,3528.093297286907
101429,3581.0982590258927
101474,3808.753188687344
101508,3877.5491791578684
101541,2627.845433402966
101563,12856.80838939182
101565,6817.998027059229
101567,6647.597850202753
101601,2761.5635558900053
101603,2827.7009381517037
101637,2833.615434771611
101643,2786.2059335489885
101653,2873.885930794555
101667,2893.5359261406884
101669,13798.867787721387
101677,3048.6004975155906
101697,7985.202820217967
101701,3148.670701771116
101715,3262.124731087468
101723,3269.23544431935
101740,948.0127318646282
101750,857.3095172784906
101770,936.7862720516591
101772,2192.2431364749946
101852,862.1681196178869
101880,889.6188071228744
101894,886.8273187787299
101896,893.2566372343732
101914,3958.9027198943168
101920,2224.533148982484
101924,907.8777202043356
102000,4575.689959286746
102014,1951.2088049551676
102022,1917.7602207500358
102024,4960.514777142772
102046,2067.4231916806666
102050,1980.8994953002712
102056,1991.6273258895526
102086,2053.4758879737847
102114,2128.0101456858215
102128,2182.5705023568203
102140,2066.6455690939483
102160,2224.669317788143
102176,2260.198847254947
102192,2291.3836954625153
102196,2296.889675560805
102230,2328.9175704454346
102258,2368.5498285359927
102264,2293.351062271532
102266,2317.5173664284184
102272,2341.7278416620247
102282,2394.868143867885
102306,2405.562755815393
102332,6246.674455155088
102390,6540.385598963147
102392,2684.816420775406
102404,2681.766261049086
102432,6766.022208016503
102440,2708.2094650176978
102492,7506.464685951831
102498,7314.00421603904
102516,3008.809196438666
102520,3065.796740342144
