Seed,Total_Delay
100009,2204.1413190611656
100011,2198.74281786654
100015,2215.4636165544102
100057,4207.190328795426
100061,10722.227557624092
100067,11126.036509124173
100077,4116.429168907047
100085,10318.814951479355
100091,3935.430616408746
100093,3828.955813630717
100101,9668.393532377708
100105,3819.612377914547
100107,3731.8271600351027
100109,3678.2448140070237
100113,3640.4879781619643
100119,3581.3819818049624
100129,4396.580448465314
100139,11257.722067153292
100141,10639.263579246159
100145,10552.278329259416
100159,4218.188383722455
100167,4143.199793810309
100171,4151.766135227581
100179,4035.2779378356413
100195,4065.9746097806196
100197,3989.7017892328045
100201,4039.0644061032135
100203,4093.4715931109117
100209,4063.8433229341454
100217,4200.654316044422
100219,4233.558430343007
100225,11016.345830946108
100227,4086.3400579616296
100231,11042.423242757592
100233,4396.915660305834
100235,4295.230885687145
100245,2754.9329181198336
100257,2691.422859067001
100267,2667.805488327775
100271,2687.896055626191
100275,2674.4730044859225
100283,7019.483393816815
100301,2657.9921943981367
100325,2730.148623696372
100335,2713.862686453385
100353,2738.7828820962222
100359,6881.5624322107415
100383,2621.6869274732167
100403,6911.05293376337
100435,1992.488242737744
100443,758.8089182064068
100449,3400.262435222106
100461,664.4748172753826
100477,1673.4359591481493
100479,571.9905055738567
100481,535.6813750161913
100495,1213.5756423799733
100501,442.9666902546924
100511,1115.020268576878
100529,1048.2964649398969
100595,312.21351527624626
100613,1041.059848603081
100639,409.44165592927175
100681,967.1278469585487
100687,399.7597370042418
100689,1287.5972931598492
100737,489.3826457627825
100755,1533.4342524882381
100757,624.3179775075836
100771,609.2102373246868
100787,1695.7065844520273
100823,781.5989725797591
100829,836.183515531222
100863,853.1326468600862
100869,2457.025482806876
100889,2670.7886433134354
100921,1211.7419357758433
100933,3239.73765151895
100955,1335.366902866573
100959,1377.0515024280437
100965,3674.185231115889
100973,1495.754819980677
100975,1584.0955819830358
100977,1607.184047993749
100981,1640.8198901692654
101015,1744.457225166879
101021,1748.021028887076
101035,1859.357010910179
101043,1873.0840040234302
101047,1834.5231367093165
101049,1910.4983093914038
101053,2016.6245848165295
101063,2031.9566761381845
101071,2099.0900889572963
101081,2137.6529191388872
101089,2142.8307334076294
101095,2255.8186155233434
101097,5894.335412906994
101105,2348.4089795879245
101111,6270.293939154072
101115,6655.6326385725115
101133,2622.7513320848884
101135,7058.6630914699235
101151,7058.3598902395215
101167,7659.880175925141
101186,693.0899014655886
101190,739.3851287173699
101258,739.5343536979577
101262,2001.9502985437593
101280,765.6578791973689
101282,2104.2513620148175
101312,2393.2812501909975
101326,2495.9244569297502
101348,2299.1645237807234
101352,969.0588425472725
101373,3416.368892493004
101379,3491.108810559242
101383,3521.7071843113836
101385,3455.9476130136336
101387,3429.591988658478
101395,3439.7433945563803
101401,3395.4474197390596
101403,3436.903354091594
101407,3471.835432520831
101419,3514.493886765802
101429,3443.8189849917335
101435,3455.4156382414158
101474,3640.956773762277
101506,3641.182220095836
101508,3561.8375200239084
101537,2299.495182767331
101541,2233.5729156586262
101563,11087.012184092668
101565,6377.54540641488
101567,6876.985696895066
101601,2668.9631306247115
101603,2676.852320493584
101637,2707.378551063855
101643,2758.8975049479973
101653,2776.66907601124
101667,2800.1642336780287
101669,13575.867126529449
101677,3064.062641417795
101697,7393.628682649372
101699,3072.142578024825
101701,3123.7976352088417
101715,3150.5772206986926
101740,1059.436095379474
101750,1100.220948460823
101762,1104.650864072406
101770,1023.3664159090984
101772,2581.419010774268
101852,1051.200337474454
101880,1080.497339824407
101894,1069.436419449485
101896,1061.342493970956
101914,5641.265160094592
101920,2800.324490719836
101924,1085.2447882510126
101940,4904.874941299622
101974,5617.128340791916
102000,5535.988108309407
102014,2143.15025724334
102022,2215.4860319423706
102024,6149.9217227736735
102046,2281.7539387147012
102050,2249.8052546031704
102056,2259.9364419524713
102086,2297.1387785505094
102114,2307.703005253178
102128,2416.4219715586523
102140,2480.0205982524158
102160,2460.0311977198653
102176,2523.7160057049036
102192,2536.99249078934
102196,2519.5031508749703
102230,2557.3461624225274
102258,2512.2291930367624
102264,2517.572923790101
102272,2566.6382051423816
102282,2635.3873621378984
102306,2644.977506959346
102332,7120.841932680254
102390,6925.701436921876
102392,2776.702251002363
102404,2830.997662152675
102432,7520.286147163961
102440,2892.4948902351753
102492,7745.872829998612
