Seed,Total_Delay
100009,2413.601592653494
100015,2389.29957285509
100061,11757.728742397212
100077,4572.76949161261
100085,11301.639683777294
100091,4499.591132997267
100093,4406.75144108887
100101,11180.50369775518
100105,4379.450999290311
100107,4372.768046390088
100109,4271.831498319279
100113,4417.861208902333
100119,4508.4876581468
100139,13565.628163475607
100141,13197.400451370579
100145,12822.805623789503
100159,4977.782480478362
100167,5010.970024726067
100179,5142.468687155989
100195,5027.819953601278
100197,5066.972824549557
100201,5080.353900153215
100203,5033.717181618287
100217,4846.3504468186
100219,4988.770102875947
100225,12704.002193801363
100227,4984.251337886816
100231,12970.544812312222
100233,5074.014631282081
100257,3516.4757996644776
100267,3351.2298331510183
100271,3364.1192420281186
100283,8685.550395351069
100301,3305.1741555393864
100335,3314.3056985777343
100353,3260.8267256798676
100359,8645.508439591193
100435,3531.940139090975
100461,1401.5763950068404
100477,3720.4516837373153
100479,1407.531788303731
100481,1393.9868984230316
100495,3674.394733825204
100501,1461.3612178927945
100529,3654.807680163897
100639,1573.901540548501
100681,4024.125034768632
100689,4273.706115093534
100737,1678.4789856032744
100755,4478.516354230637
100771,1829.2634557340964
100787,4968.500825849498
100823,2012.429988633948
100863,2067.4265183597054
100869,5415.84286393272
100933,5790.883734023348
100965,5820.65492365753
100973,2238.4629177897204
100977,2368.4113576530576
100981,2336.211645886979
101015,2343.0250467493065
101047,2354.5484419357404
101053,2547.720090982835
101063,2458.8902125684185
101071,2541.2478539654385
101081,2566.525557322822
101089,2587.7373755470066
101095,2675.257079656855
101105,2702.6028116132943
101111,7026.796060184269
101133,2836.914859879333
101135,7066.602155325895
101167,7621.652098192514
101186,865.5815270948004
101190,929.3286844905653
101258,862.087752992894
101262,1999.195745872825
101280,864.981492351345
101312,2269.580527757638
101326,2295.3468723178567
101348,2492.1008005608483
101352,962.6478466051068
101373,3606.4829174813426
101379,3618.852920963942
101383,3629.9564914336206
101385,3632.6388674438144
101401,3587.740041244692
101407,3751.222041332247
101419,3677.4923340203986
101429,3763.0334645735907
101474,3779.027004991952
101541,2729.1309409878454
101563,13861.203704861884
101565,7203.531228398741
101567,7353.712281702203
101601,2876.212895145946
101603,2787.6683624577554
101637,2885.4701480959484
101643,2872.4946245498936
101653,2946.1141060452833
101667,2999.3175992348633
101669,14392.582767128462
101677,3061.6014687596676
101697,8183.581322146904
101699,3266.4001753084067
101701,3281.579645665643
101715,3324.479191840933
101723,3443.332810425177
101740,1302.5712556462468
101750,1272.9875516146635
101770,1299.072707563155
101772,3286.252772034511
101852,1271.3539937992862
101880,1271.0221817097417
101894,1370.4538499496844
101896,1312.4895871375802
101914,6156.405155298121
101920,3373.5405532402247
101924,1282.75269404716
102000,6050.487608848877
102014,2262.702694209594
102024,5729.779288381682
102046,2402.0054815730514
102050,2505.994399741655
102056,2418.97884856257
102114,2349.9893605201105
102128,2440.1463204337538
102176,2538.8740063848472
102192,2575.800232747013
102196,2508.6476281770033
102230,2573.116436743118
102258,2633.562482344969
102264,2611.4844824372194
102272,2587.992455926586
102282,2606.5477964613274
102306,2634.8318625387683
102332,6986.044218562003
102390,7213.738820049413
102392,2796.053345780136
102404,2872.776684400411
102432,7523.147293543194
102440,2969.8041602382277
102492,7597.779181093331
102498,7930.595073768235
102516,3184.350008150979
102520,3223.559992451183
