,road,id,model_type,name,lat,lon,length,condition,chainage
189,N1,100190,link,Link,23.19181191040295,91.31928781933814,1071.900000000003,NaN,123.142
190,N1,100191,bridge,BOSONTA PUR BOX CULVERT,23.1874350254302,91.3209051317399,6.1,C,123.681
191,N1,100192,link,Link,23.184615420206953,91.32089194160285,657.2000000000063,NaN,124.0135
192,N1,100193,bridge,BASHONTA PUR (2),23.1817958149837,91.3208787514658,9.5,B,124.346
193,N1,100194,link,Link,23.1772115234259,91.32072810787575,1057.699999999993,NaN,124.878
194,N1,100195,bridge,NANKORA BOX CULVERT,23.1726272318681,91.3205774642857,3.1,B,125.41
195,N1,100196,link,Link,23.168070549393597,91.32108320537515,1031.6999999999969,NaN,125.929
196,N1,100197,bridge,ANDAJER BAZER BOX CULVERT,23.1635138669191,91.3215889464646,9.5,A,126.448
197,N1,100198,link,Link,23.1581251809279,91.3229534118399,1217.1000000000085,NaN,127.06049999999999
198,N1,100199,bridge,DIMATOLI (1) BOX CULVERT,23.1527364949367,91.3243178772152,6.3,B,127.673
199,N1,100200,link,Link,23.14820163143505,91.325492962123,1089.099999999994,NaN,128.22
200,N1,100201,bridge,DIMATOLY (2) BOX CULVERT,23.1436667679334,91.3266680470308,3.5,B,128.767
201,N1,100202,link,Link,23.14132804398395,91.32651329095924,519.200000000001,NaN,129.029
202,N1,100203,bridge,JAGARNATHPUR BOX CULVERT,23.1389893200345,91.3263585348877,6.1,B,129.291
203,N1,100204,link,Link,23.136126644315652,91.32695247568435,659.4500000000157,NaN,129.623
204,N1,100205,bridge,JAGOT PUR BOX CULVERT,23.1332639685968,91.327546416481,3.0,B,129.955
205,N1,100206,link,Link,23.12925016318725,91.32896639268489,952.2499999999936,NaN,130.4335
206,N1,100207,bridge,HASO BOTHACH BOX CULVERT,23.1252363577777,91.3303863688888,6.5,A,130.912
207,N1,100208,link,Link,23.122466867598497,91.331601440896,659.499999999992,NaN,131.24450000000002
208,N1,100209,bridge,FOKIR BAZAR SLAB CULVERT,23.1196973774193,91.3328165129032,4.5,B,131.577
209,N1,100210,link,Link,23.11776126640965,91.3339554989516,497.1000000000096,NaN,131.828
210,N1,100211,bridge,KAKKARA CULVERT,23.1158251554,91.335094485,5.3,B,132.079
211,N1,100212,link,Link,23.1116268002694,91.33757201430555,1070.2999999999934,NaN,132.61700000000002
