Seed,Average Driving Time
12,1448.7493472584856
13,1453.6626086956521
14,1421.082251082251
15,1235.381192275399
16,1506.0517090271692
17,1319.8173322005098
18,1518.9762323943662
19,1250.3969722455845
20,1273.7445193929175
21,1317.2455395072218
